_id,Municipality,Tier,Region,Affordable purchase price of a detached house ($),Affordable purchase price of a semi-detached house ($),Affordable purchase price of a row/townhouse ($),Affordable purchase price of a condominium apartment ($),Purchase price based on income ($),Ninety per cent of average purchase price - detached ($),Ninety per cent of average purchase price - semi-detached ($),Ninety per cent of average purchase price - row/townhouse ($),Ninety per cent of average purchase price - condo apt ($),Average purchase price of a detached house ($),Average purchase price of a semi-detached house ($),Average purchase price of a row/townhouse ($),Average purchase price of a condominium apartment ($),Threshold applied for a detached house; and substitution ($),Threshold applied for a semi-detached; and substitution ($),Threshold applied for a row/townhouse; and substitution ($),Threshold applied for a condo apartment; and substitution ($),Affordable monthly rent of a bachelor unit ($),Affordable monthly rent of a 1-bedroom unit ($),Affordable monthly rent of a 2-bedroom unit ($),Affordable monthly rent of a 3+ bedroom unit ($),Rent based on income ($),Average market rent of a bachelor unit ($),Average market rent of a 1-bedroom unit ($),Average market rent of a 2-bedroom unit ($),Average market rent of a 3+ bedroom unit ($),Threshold applied for a bachelor unit; and substitution ($),Threshold applied for a 1-bedroom unit; and substitution ($),Threshold applied for a 2-bedroom unit; and substitution ($),Threshold applied for a 3+ bedroom unit; and substitution ($)
1,Addington Highlands Tp,LT,Eastern,"260,000","260,000","260,000","260,000","260,000","441,000","450,000","423,000","405,000","490,000","500,000","470,000","450,000",Income; Base,Income; Base,Income; Base,Income; Base,955,"1,206","1,298","1,580","1,580",955,"1,206","1,298","2,142",Rent; CD,Rent; CD,Rent; CD,Income; Base
2,Adelaide-Metcalfe Tp,LT,Western,"481,200","441,000","468,000","423,000","481,200","747,000","441,000","468,000","423,000","830,000","490,000","520,000","470,000",Income; Base,Price; CD,Price; CD,Price; CD,"1,079","1,381","1,654","1,976","2,570","1,079","1,381","1,654","1,976",Rent; CD,Rent; CD,Rent; CD,Rent; CD
3,Adjala-Tosorontio Tp,LT,Central,"539,400","539,400","539,400","539,400","539,400","1,071,000","639,000","630,000","1,179,000","1,190,000","710,000","700,000","1,310,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,003","1,475","1,651","1,833","2,140","1,003","1,475","1,651","1,833",Rent; CD,Rent; CD,Rent; CD,Rent; CD
4,Admaston-Bromley Tp,LT,Eastern,"407,400","369,000","387,000","279,000","407,400","468,000","369,000","387,000","279,000","520,000","410,000","430,000","310,000",Income; Base,Price; CD,Price; CD,Price; CD,"1,281","1,140","1,312","1,592","2,170","1,281","1,140","1,312","1,592",Rent; Region,Rent; CD,Rent; CD,Rent; CD
5,Ajax T,LT,Central,"535,500","535,500","535,500","504,000","535,500","981,000","783,000","720,000","504,000","1,090,000","870,000","800,000","560,000",Income; Base,Income; Base,Income; Base,Price; Base,"1,330","1,216","1,727","1,870","2,540","1,330","1,216","1,727","1,870",Rent; CD,Rent; Base,Rent; Base,Rent; Base
6,Alberton Tp,ST,Northwestern,"270,000","243,000","324,000","306,000","419,100","270,000","243,000","324,000","306,000","300,000","270,000","360,000","340,000",Price; CD,Price; Region,Price; Region,Price; Region,950,"1,163","1,479","1,660","1,660",950,"1,163","1,479","1,851",Rent; Region,Rent; Region,Rent; Region,Income; CD
7,Alfred and Plantagenet Tp,LT,Eastern,"384,200","378,000","384,200","351,000","384,200","486,000","378,000","414,000","351,000","540,000","420,000","460,000","390,000",Income; Base,Price; Base,Income; Base,Price; CD,590,948,"1,463","1,940","1,940",590,948,"1,463","2,142",Rent; CD,Rent; CD,Rent; CD,Income; Base
8,Algonquin Highlands Tp,LT,Eastern,"384,200","384,200","384,200","384,200","384,200","846,000","414,000","477,000","504,000","940,000","460,000","530,000","560,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,281","1,350","1,350","1,350","1,350","1,281","1,533","1,762","2,142",Rent; Region,Income; Base,Income; Base,Income; Base
9,Alnwick-Haldimand Tp,LT,Eastern,"473,400","473,400","473,400","473,400","473,400","837,000","531,000","522,000","702,000","930,000","590,000","580,000","780,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,148","1,465","1,582","1,895","2,450","1,148","1,465","1,582","1,895",Rent; CD,Rent; CD,Rent; CD,Rent; CD
10,Amaranth Tp,LT,Western,"562,600","562,600","562,600","558,000","562,600","1,170,000","594,000","639,000","558,000","1,300,000","660,000","710,000","620,000",Income; Base,Income; Base,Income; Base,Price; CD,"1,350","1,463","1,714","1,714","2,720","1,350","1,463","1,714","1,714",Rent; CD,Rent; CD,Rent; CD,Rent; CD
